company,title,location,experience,salary_lpa,match,portal,posted,url
GitLab,Intermediate Backend Engineer,Bangalore,Years not stated,,33,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8736877002
Meesho,Data Scientist III,Bangalore,Years not stated,,30,lever,2023-11-10T04:17:11.159000+00:00,https://jobs.lever.co/meesho/489fe662-5d28-4305-953e-91ee21e8538c
Unacademy,"Software Engineer, Backend",Bengaluru,Years not stated,,25,smartrecruiters,2018-06-28T13:11:04+00:00,https://jobs.smartrecruiters.com/unacademy/postings/743999672726735
GitLab,Intermediate Backend Engineer - Database Change Management,Bangalore,Years not stated,,23,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8722304002
Atlan,Senior Security Engineer - Corporate Security,India,"5+ yrs, senior title",,21,ashby,2026-07-24T11:33:47.990000+00:00,https://jobs.ashbyhq.com/atlan/254c1250-953b-4323-8d18-9fe5e41d8d7d
AddStructure,Staff Machine Learning Engineer,Bengaluru,Senior title,,70,lever,2025-08-13T15:33:11.981000+00:00,https://jobs.lever.co/bazaarvoice/779e032e-7970-47a9-aaad-150e89ef7790
Coursera,"Senior Software Engineer, Applied AI and Customer Solutions",India,Senior title,,69,greenhouse,2026-09-16T17:58:48-04:00,https://job-boards.greenhouse.io/coursera/...
Equal Experts,Lead Gen-AI Engineer,Bengaluru,Senior title,,57,greenhouse,2026-08-17T05:02:56-04:00,https://job-boards.greenhouse.io/equalexperts/jobs/8538926002
MinIO,Field Chief Technology Officer (Field CTO),Bengaluru / Remote,10+ yrs,,46,greenhouse,2026-08-20T19:40:42-04:00,https://job-boards.greenhouse.io/minio/jobs/5380066008
AddStructure,Staff Software Engineer (Real Time/ Streaming Data Engineer),Bengaluru,Senior title,,40,lever,2026-01-15T14:36:19.382000+00:00,https://jobs.lever.co/bazaarvoice/bcd72ca1-c6d0-439c-82de-850f236d2b25
Elastic,Consulting Architect - Search,India,Senior title,,39,greenhouse,2026-09-10T20:07:01-04:00,https://jobs.elastic.co/jobs
GitLab,"Senior Software Engineer, NLP",Bangalore,Senior title,,38,greenhouse,2026-09-16T00:16:14-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8785285002
